player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,Year,Category,smart_id,college_conference,college_name,draft_club,draftround,draft_number,rookie_year,season
william gay,3786,CB,PIT,17,1,0,78.3,0,1,25,0,0,62.7,59.3,0,59.1,52.5,42.5,0,0,0,1,40,20.8,5,2,3,97.8,18,0,0,107,29,248,271,11,0,0,11,0,33,260,1,22,91,8,18,0,23,0,1,192,114,10.7,2017,Defense,32004741-5940-0290-79b7-42a0cfbd2d42,Big East,Louisville,PIT,5,170,2007,11
chris long,4316,ED,PHI,19,6,0,50,0,4,24,1,0,61.9,86.6,66.4,84.8,69.5,49.7,20,40,0,0,9,18.2,6,0,2,62.5,1,5,0,0,0,7,588,588,0,3,578,7,0,0,429,152,0,22,21,2,2,65,0,9,11,9,2017,Defense,32004c4f-4e21-3256-3312-f321bfbec401,Atlantic Coast Conference,Virginia,STL,1,2,2008,10
dominique rodgers-cromartie,4330,SLOT,NYG,15,9,0,76.7,0,0,21,0,0,69,67.6,85.1,60.5,58.3,49.2,1,4,0,0,38,17.6,9,1,0,107.1,33,1,0,108,109,360,604,34,0,1,32,1,13,570,33,211,340,18,33,4,43,6,2,264,183,8,2017,Defense,3200524f-4461-6216-d73f-d91b598573de,Ohio Valley Conference,Tennessee State,ARI,1,16,2008,10
aqib talib,4334,CB,DEN,15,4,0,54.3,1,1,10,0,0,81.6,81.4,55.2,NA,76.9,84.7,0,0,1,1,32,3.1,1,6,3,82.7,25,0,0,46,625,465,753,2,0,0,2,0,5,751,0,288,75,7,27,0,46,0,3,250,84,10,2017,Defense,32005441-4c42-8789-1ed0-48621b0dc7a8,Big Twelve Conference,Kansas,TB,1,20,2008,10
calais campbell,4364,ED,JAX,19,14,3,NA,0,3,15,1,1,69.1,91,85,81.3,90.3,58.1,18,50,0,0,NA,10.6,7,0,1,0,0,17,0,3,0,5,984,981,11,166,578,226,0,3,622,357,0,55,45,6,0,85,0,0,0,NA,2017,Defense,32004341-4d20-8843-b05a-24f8ec79f300,Atlantic Coast Conference,Miami,ARI,2,50,2008,10
william hayes,4417,ED,MIA,10,3,1,NA,1,0,17,0,0,59.8,90.3,27.9,81.2,91,70.5,4,13,0,0,NA,5,1,0,3,0,0,1,0,2,0,2,271,269,4,19,242,4,0,2,129,140,0,17,16,4,0,18,0,0,0,NA,2017,Defense,32004841-5947-4225-e541-2b01fccfc839,Mid-Eastern Athletic Conference,Winston-Salem State,TEN,4,103,2008,10
brandon carr,4454,CB,BLT,16,5,0,56,2,0,3,0,0,66.2,67.7,68.2,49.9,72.5,69.4,0,0,0,4,43,9.1,6,7,10,69.1,47,0,0,65,858,624,1023,22,0,0,22,0,0,1001,5,394,78,13,55,2,84,0,2,651,154,13.9,2017,Defense,32004341-5234-7675-6e6d-08ad6883e8bd,Great Lakes Intercollegiate Athletic Conference,Grand Valley State,KC,5,140,2008,10
orlando scandrick,4457,SLOT,DAL,11,3,1,66.7,0,0,9,0,0,48.9,55.3,87.5,50.9,81.6,46.7,1,3,0,0,56,16.7,7,2,3,112.9,38,0,0,32,213,353,614,44,0,0,44,0,3,570,35,226,322,14,32,2,57,4,3,516,274,13.6,2017,Defense,32005343-4133-5249-c94c-1dd3630cd56d,Western Athletic Conference,Boise State,DAL,5,143,2008,10
erik walden,4481,ED,TEN,18,12,0,83.3,0,0,31,1,0,70.3,59.6,24.4,63.8,54.3,74.3,3,23,0,0,16,5.1,2,0,5,95.8,5,4,0,62,0,82,644,567,1,1,561,4,1,77,331,231,14,16,25,4,6,30,0,42,31,8.4,2017,Defense,32005741-4c02-8236-2eb3-78ba229f0bc6,Sun Belt Conference,Middle Tennessee State,DAL,6,167,2008,10
ahtyba rubin,4504,NT,ATL,13,3,0,NA,0,0,2,0,0,NA,67.2,50.5,63.7,67.3,73.6,1,2,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,174,174,121,47,0,6,0,0,77,97,0,6,8,0,0,3,0,0,0,NA,2017,Defense,32005255-4242-5866-2ace-b4aa7d1d8a27,Big Twelve Conference,Iowa State,CLE,6,190,2008,10
