player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,Year,Category,smart_id,college_conference,college_name,draft_club,draftround,draft_number,rookie_year,season
nate hairston,11913,SLOT,DEN,10,0,0,53.3,0,0,10,0,0,76,73.3,79.2,54.7,50.5,81.1,0,0,0,0,13,0,0,3,0,101.4,8,0,0,19,22,120,148,0,0,0,0,0,2,148,2,26,105,3,7,0,15,0,2,55,17,6.9,2021,Defense,32004841-4974-1950-1414-941e1bb47e67,American Athletic Conference,Temple,IND,5,158,2017,5
anthony walker,11916,LB,CLV,13,32,0,82.5,0,0,8,0,0,78.2,69.1,86.1,68,51.2,65.3,0,4,0,0,24,9.4,11,2,0,95.9,33,1,0,615,1,399,701,9,0,0,9,0,5,692,19,283,70,37,74,1,40,5,0,281,227,8.5,2021,Defense,32005741-4c07-7409-5aab-1c4a483d11b7,Big Ten Conference,Northwestern,IND,5,161,2017,5
matt milano,11918,LB,BUF,18,21,0,64.4,1,0,4,2,0,59.6,67,49.9,79.7,68.3,66.2,4,9,0,0,26,12.7,14,5,3,87.9,47,3,0,846,11,543,1038,97,0,0,97,0,5,941,96,399,79,43,75,13,73,16,2,403,261,8.6,2021,Defense,32004d49-4c03-3577-24b3-664d0e1e9524,Atlantic Coast Conference,Boston College,BUF,5,163,2017,5
marquel lee,11923,LB,LV,5,2,0,100,0,0,23,0,0,65.2,50.4,74.8,60,48.6,31.7,0,0,0,0,6,28.6,2,0,0,91.7,1,0,0,34,0,6,35,0,0,0,0,0,0,35,1,28,0,1,3,0,1,0,0,6,0,6,2021,Defense,32004c45-4546-8103-24b7-5d050182cb10,Atlantic Coast Conference,Wake Forest,OAK,5,168,2017,5
brian allen,11928,CB,CLV,1,0,0,NA,0,0,8,0,0,NA,60,60,NA,60,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,NA,2021,Defense,3200414c-4c06-4455-fde5-600f701bf107,Pacific Twelve Conference,Utah,PIT,5,173,2017,5
davon godchaux,11934,NT,NE,18,23,0,NA,0,1,19,0,0,65.3,63.7,77.2,55.6,64.5,61,4,12,0,0,NA,7,5,0,1,0,0,1,0,3,0,1,673,670,366,243,5,56,0,3,342,330,0,26,43,1,0,17,0,0,0,NA,2021,Defense,3200474f-4409-3943-f3b0-e1ac6f3b3b13,Southeastern Conference,Louisiana State,MIA,5,178,2017,5
chuck clark,11941,S,BLT,16,13,2,68.9,0,0,3,0,0,61.1,66.2,67.6,72.3,72.5,68.3,0,9,1,2,50,10.6,9,4,1,112.1,31,1,0,302,32,623,1023,115,0,0,115,0,449,908,53,347,125,24,63,3,45,10,4,448,182,14.5,2021,Defense,3200434c-4122-5622-5c14-90fee339d2bb,Atlantic Coast Conference,Virginia Tech,BAL,6,186,2017,5
xavier woods,11946,FS,MIN,17,21,0,59.5,0,2,18,0,0,58.3,66.4,34.5,74.2,87.5,88,0,0,0,3,75,5.4,6,6,4,102.6,25,1,0,245,9,749,1207,31,0,0,31,0,743,1176,9,449,179,18,84,1,42,1,5,414,140,16.6,2021,Defense,3200574f-4f62-0124-151e-cfaca2197eec,Conference USA,Louisiana Tech,DAL,6,191,2017,5
jordan evans,11947,LB,CIN,4,2,0,100,0,0,7,0,0,50.2,57.7,76.4,67.3,68.5,79.2,0,0,0,0,34,0,0,0,0,118.8,3,0,0,31,0,30,44,8,0,0,8,0,1,36,4,10,4,0,3,0,3,0,0,52,31,17.3,2021,Defense,32004556-4142-1955-6b12-4186f841c175,Big Twelve Conference,Oklahoma,CIN,6,193,2017,5
vincent taylor,11949,DI,HST,1,1,0,NA,0,0,13,0,0,NA,50,75.9,67.1,42.3,28.3,0,0,0,0,NA,33.3,1,0,0,0,0,0,0,0,0,0,25,25,4,19,0,2,0,0,15,10,0,0,1,0,0,0,0,0,0,NA,2021,Defense,32005441-5976-8399-cc32-3f401e1b19d2,Big Twelve Conference,Oklahoma State,MIA,6,194,2017,5
tanner vallejo,11950,LB,ARZ,10,7,0,25,0,0,1,0,0,42.2,30.7,77.2,59.3,32.1,28.1,1,0,0,0,4,30.4,7,1,0,39.6,1,0,0,147,3,74,159,1,0,0,1,0,0,158,9,76,7,6,9,3,4,1,0,4,0,4,2021,Defense,32005641-4c64-1832-251a-a62533d1d112,Mountain West Conference,Boise State,BUF,6,195,2017,5
al-quadin muhammad,11951,ED,IND,17,16,0,100,1,1,14,0,0,61.1,64.6,76.8,61,63.5,36.8,7,23,0,0,7,16.7,9,0,2,95.8,1,7,0,1,0,17,800,799,0,14,749,36,0,1,457,326,0,21,29,3,1,37,0,7,-4,7,2021,Defense,32004d55-4840-5540-392b-8eb5c7758a63,Atlantic Coast Conference,Miami,NO,6,196,2017,5
dj jones,11953,DI,SF,20,14,0,66.7,0,1,28,0,0,70.2,73.7,87.1,66.6,67.2,38.1,1,20,0,0,8,12.7,9,0,0,71.5,2,3,0,0,0,5,654,653,54,515,0,84,0,1,348,301,0,46,48,6,3,24,0,10,10,5,2021,Defense,32004a4f-4e23-0048-1505-9691edb2c0ce,Southeastern Conference,Mississippi,SF,6,198,2017,5
pita taumoepenu,11957,ED,DEN,2,0,0,NA,0,0,10,0,0,NA,78,69.5,60,60.1,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,1,1,2,1,0,0,0,0,0,0,0,0,NA,2021,Defense,32005441-5521-7769-5153-af03b1c08fe6,Pacific Twelve Conference,Utah,SF,6,202,2017,5
brandon wilson,11962,FS,CIN,3,0,0,100,0,0,7,0,0,60.3,58.3,76.3,60,53.1,81.9,0,0,0,0,15,0,0,0,0,118.8,1,0,0,8,2,49,79,1,0,0,1,0,60,78,1,29,8,0,3,0,1,0,0,15,11,15,2021,Defense,32005749-4c65-2475-14c2-d846ae93e20f,American Athletic Conference,Houston,CIN,6,207,2017,5
rudy ford,11963,SLOT,JAX,15,9,1,83,0,0,15,0,0,59.4,57.7,84,63.4,43.4,76.6,1,7,0,1,19,5.9,3,0,0,83.2,39,1,0,99,18,256,423,31,0,0,31,0,1,392,54,113,273,14,39,1,47,9,0,286,201,7.3,2021,Defense,3200464f-5232-3002-26e9-480b503f60cb,Southeastern Conference,Auburn,ARI,6,208,2017,5
ifeadi odenigbo,11975,ED,CLV,9,4,0,100,0,0,8,1,0,41.3,49.6,51.9,64.9,47.7,29.3,3,2,0,0,12,20,3,0,1,116.7,1,0,0,1,0,2,162,161,0,1,147,13,0,1,85,75,0,5,8,0,1,5,0,12,17,12,2021,Defense,32004f44-4569-0714-f07c-cb65e8e84376,Big Ten Conference,Northwestern,MIN,7,220,2017,5
isaac rochell,11980,ED,IND,12,1,0,NA,0,0,14,0,0,64.2,58.6,86.7,55.9,55,55.8,3,5,0,0,NA,11.8,2,0,0,0,0,0,0,0,0,1,177,177,0,2,166,9,0,0,104,72,0,9,14,0,0,8,0,0,0,NA,2021,Defense,3200524f-4316-3836-7630-2da249a7c093,Independent,Notre Dame,LAC,7,225,2017,5
adrian colbert,11983,FS,CLV,5,3,0,57.1,0,0,8,0,0,44.5,44.1,81.2,53.4,57.7,31.4,0,0,0,0,19,25,4,0,0,77.7,4,0,0,35,0,87,161,5,0,0,5,0,92,156,4,70,29,1,9,0,7,0,0,47,28,11.8,2021,Defense,3200434f-4c02-5635-2f8e-f181d299b9e5,Atlantic Coast Conference,Miami,SF,7,229,2017,5
elijah lee,11987,LB,CLV,8,1,0,100,0,0,8,0,0,64.4,67.7,81.7,60,66.4,57.9,0,0,0,0,17,11.1,1,0,0,112.5,2,0,0,67,1,36,74,3,0,0,3,0,0,71,2,36,1,1,7,0,2,0,0,22,2,11,2021,Defense,32004c45-4520-1855-b913-eb00539e3774,Big Twelve Conference,Kansas State,MIN,7,232,2017,5
patrick oconnor,12005,DI,TB,8,1,0,100,0,0,30,0,0,60.9,60.1,77.4,72.1,41.6,71.1,2,1,0,0,2,0,0,0,0,118.8,1,1,0,1,0,2,46,44,2,18,6,18,0,2,30,14,0,2,2,1,1,4,1,2,0,2,2021,Defense,32004f43-4f51-9549-84de-4c27d3c72ed9,Mid-American Conference,Eastern Michigan,DET,7,250,2017,5
michael davis,12040,CB,LAC,14,6,0,55,3,0,27,2,0,54.4,54,86.4,NA,49.4,58,0,0,0,1,44,12.5,8,8,8,97.4,44,0,0,115,727,523,851,4,0,0,4,0,0,847,0,328,5,13,50,1,80,0,6,571,200,13,2021,Defense,32004441-5654-7120-f653-11d289218e7b,Independent,Brigham Young,NA,UDFA,NA,2017,5
greg mabin,12068,CB,TEN,5,3,0,58.8,0,0,31,0,0,50.4,52,82.3,NA,65.7,55.1,0,0,0,0,19,16.7,2,1,1,94,10,0,0,5,160,144,171,0,0,0,0,0,0,171,0,27,6,1,7,0,17,0,1,95,25,9.5,2021,Defense,32004d41-4220-6573-a4e5-f1a2df708ea3,Big Ten Conference,Iowa,NA,UDFA,NA,2017,5
josh tupou,12093,DI,CIN,19,9,0,NA,0,0,7,0,0,60,54.9,85.9,59.1,50.6,55.4,1,10,0,0,NA,5.9,1,0,0,0,0,1,0,0,0,0,436,436,56,350,2,28,0,0,235,201,0,7,7,0,0,12,0,0,0,NA,2021,Defense,32005455-5054-6197-b656-c3798436dac4,Pacific Twelve Conference,Colorado,NA,UDFA,NA,2017,5
kai nacua,12102,S,NYJ,1,0,0,100,0,0,22,0,0,51.5,55,69.4,NA,62.1,79.5,0,0,0,0,19,0,0,0,0,118.8,1,0,0,3,0,7,11,1,0,0,1,0,4,10,0,4,2,0,2,0,1,0,0,19,0,19,2021,Defense,32004e41-4355-3722-7c36-a08a4106786b,Independent,Brigham Young,NA,UDFA,NA,2017,5
adam butler,12214,NT,MIA,17,5,3,0,0,0,17,0,0,51.7,54.4,87.1,58.2,55.5,28.3,3,19,0,0,NA,27.3,6,0,0,39.6,0,2,0,2,1,40,592,588,282,219,9,78,0,4,419,133,0,7,11,0,1,24,0,0,0,NA,2021,Defense,32004255-5410-6408-e7df-5e762e3130ea,Southeastern Conference,Vanderbilt,NA,UDFA,NA,2017,5
arthur maulet,12224,SLOT,PIT,15,7,0,72,0,1,25,0,0,43.9,57.5,84.9,67.2,84,72,2,7,0,0,39,6.3,3,0,0,118.9,18,0,0,40,7,204,380,61,0,0,61,0,1,319,36,140,270,19,38,5,25,9,1,261,116,14.5,2021,Defense,32004d41-5547-5233-80cb-174c6c903503,American Athletic Conference,Memphis,NA,UDFA,NA,2017,5
calvin munson,12236,LB,MIA,4,2,0,100,0,0,17,0,0,29,55.5,70.6,NA,84.5,26.5,0,0,0,0,18,40,2,0,0,110.4,2,0,0,12,0,3,12,0,0,0,0,0,0,12,0,9,0,1,1,1,2,0,0,21,26,10.5,2021,Defense,32004d55-4e73-2570-8063-ce488a2486bb,Mountain West Conference,San Diego State,NA,UDFA,NA,2017,5
jamal perry,12259,S,MIA,1,0,0,NA,0,0,17,0,0,60.4,60,69.2,59.7,NA,NA,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,2,3,2,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,NA,2021,Defense,32005749-4c83-0153-3460-76410b0741a4,Big Twelve Conference,Iowa State,NA,UDFA,NA,2017,5
joe jones,12321,LB,TEN,4,1,0,NA,0,0,31,0,0,60,54,76.3,48.5,65.8,69.9,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,26,26,0,0,26,0,0,0,21,4,0,0,0,0,0,1,0,0,0,NA,2021,Defense,32004a4f-4e49-6790-3f65-8e55a9eaae27,Big Ten Conference,Northwestern,NA,UDFA,NA,2017,5
caleb johnson,12488,LB,CHI,1,1,0,0,0,0,6,0,0,62.4,37.5,67,NA,49.9,71.4,0,0,0,0,NA,0,0,0,0,39.6,0,0,0,5,0,4,5,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,NA,2021,Defense,32004a4f-4808-8336-3207-1e7c188b9146,Southland Conference,Houston Baptist,NA,UDFA,NA,2021,1
sione takitaki,12666,LB,CLV,15,11,0,73.7,0,0,8,0,0,73.4,67.5,79.6,63.2,58.5,70.9,2,2,0,0,20,10.3,4,0,0,76.6,14,0,0,164,1,95,285,55,0,0,55,0,0,230,22,168,63,14,24,5,19,4,0,60,28,4.3,2021,Defense,32005441-4b11-1241-9b68-3c89f1b8a042,Independent,Brigham Young,CLE,3,80,2019,3
kamal martin,12744,LB,CAR,3,0,0,100,0,0,5,0,0,33.1,26.2,69.8,NA,43.2,22.5,0,0,0,0,29,100,1,0,0,118.8,1,0,0,9,0,3,11,0,0,0,0,0,0,11,0,8,2,0,0,0,1,0,0,29,37,29,2021,Defense,32004d41-5266-4643-218e-20795551544b,Big Ten Conference,Minnesota,GB,5,175,2020,2
sam beal,13822,CB,NYG,3,0,0,NA,0,0,21,0,0,68,70.8,67.8,NA,60,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,NA,2021,Defense,32004245-4114-4197-d93b-43a373f8a8d4,Mid-American Conference,Western Michigan,NYG,3,67,2018,4
alexander johnson,15267,LB,DEN,6,10,0,52.2,0,0,10,1,0,63.1,80.9,81.2,68.2,90.3,90,0,6,0,0,59,0,0,3,0,92.7,12,2,0,292,0,161,323,21,0,3,16,2,1,302,43,119,9,17,24,0,23,8,1,180,116,15,2021,Defense,32004a4f-4804-1096-8699-446a82b664b4,Southeastern Conference,Tennessee,NA,UDFA,NA,2018,4
sam eguavoen,15301,LB,MIA,15,3,0,100,0,0,17,1,1,56.4,63.3,85.5,64.1,62,45,6,8,0,0,17,23.1,3,0,0,108.3,3,1,0,96,0,44,181,80,0,0,80,0,2,101,91,46,3,4,7,0,3,15,0,30,22,10,2021,Defense,32004547-5544-4172-9434-3dd791ff42ae,Big Twelve Conference,Texas Tech,NA,UDFA,NA,2019,3
justin hardee,18348,CB,NYJ,2,0,0,NA,0,0,22,0,0,60,60.9,69,NA,60,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,NA,2021,Defense,32004841-5202-2859-a2a6-7b80700b79aa,Big Ten Conference,Illinois,NA,UDFA,NA,2017,5
jonathan ledbetter,18645,DI,ARZ,1,0,0,NA,0,0,1,0,0,NA,36.1,0,56.4,58.8,NA,0,0,0,0,NA,NA,0,0,1,0,0,0,0,0,0,0,10,10,0,10,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,NA,2021,Defense,32004c45-4430-0302-1f2e-6efaf83b105d,Southeastern Conference,Georgia,NA,UDFA,NA,2019,3
kemoko turay,21702,ED,IND,13,3,0,50,0,0,14,1,0,61.2,53.2,36.7,60.9,42.6,28.9,4,12,0,0,17,55.6,5,0,2,79.2,1,6,0,8,0,10,224,216,0,3,208,5,0,8,173,41,0,5,1,0,2,22,0,17,8,17,2021,Defense,32005455-5201-2037-a567-d712db2228ee,Big Ten Conference,Rutgers,IND,2,52,2018,4
sam kamara,24176,ED,CHI,8,1,0,100,0,0,6,0,0,54.4,56.6,81.2,54.9,59.2,64.3,0,5,0,0,10,11.1,1,0,0,108.3,1,0,0,1,0,7,108,104,0,0,104,0,0,4,46,55,3,3,7,1,1,5,0,10,9,10,2021,Defense,32004b41-4d32-9673-e268-ec24780e5f0c,Colonial Athletic Association,Stony Brook,NA,UDFA,NA,2021,1
dylan cole,24304,LB,TEN,6,2,0,75,0,0,31,0,0,47,39.8,0,51.4,56.7,44.3,1,1,0,0,20,20,1,1,1,103.1,3,0,0,46,1,21,54,2,0,0,2,0,1,52,7,26,4,0,2,0,4,2,0,37,28,12.3,2021,Defense,3200434f-4c09-1645-8dc2-6f7bd352aa33,Missouri Valley Football Conference,Missouri State,NA,UDFA,NA,2017,5
nathan shepherd,24614,DI,NYJ,17,8,0,100,0,0,22,0,0,59.7,50.8,7.9,70.8,46.8,51.9,10,9,0,0,4,9.7,3,0,6,83.3,1,0,0,1,0,3,495,494,15,402,0,77,0,1,244,248,0,13,20,0,1,19,0,4,4,4,2021,Defense,32005348-4551-7895-806f-195b8a37f46d,Mid-America Intercollegiate Athletic Association,Fort Hays State,NYJ,3,72,2018,4
foyesade oluokun,24904,LB,ATL,17,47,0,81,2,1,2,0,0,54.4,47,67.9,49.8,44,76.8,5,6,0,3,30,8.7,17,3,3,93.2,47,2,0,1070,10,560,1148,46,0,0,46,0,4,1102,99,489,18,48,131,4,58,13,2,509,232,10.8,2021,Defense,32004f4c-5547-4619-f8c5-4552ff3c79e3,Ivy League,Yale,ATL,6,200,2018,4
deionte thompson,25444,FS,ARZ,14,0,0,100,0,0,1,0,0,62.9,69,78.2,57,74.8,83.5,0,0,0,0,5,0,0,0,1,87.5,1,0,0,15,2,46,85,2,0,0,2,0,58,83,2,37,7,4,8,0,1,0,0,5,4,5,2021,Defense,32005448-4f48-0961-8988-c71f3d6e032d,Southeastern Conference,Alabama,ARI,5,139,2019,3
levi wallace,25445,CB,BUF,19,9,0,59.8,0,0,4,1,0,65.3,62.8,51.8,69.3,51.9,57.2,0,2,0,3,64,13.2,10,7,9,85.9,55,0,0,75,1000,684,1116,26,0,0,26,0,3,1090,2,430,12,20,57,3,92,2,5,650,308,11.8,2021,Defense,32005741-4c46-5573-953a-9acfeb7cb853,Southeastern Conference,Alabama,NA,UDFA,NA,2018,4
dane cruikshank,25546,S,TEN,14,8,0,77.1,0,0,31,0,0,56.4,56.6,84.1,57.3,56.5,62.5,0,2,0,0,36,12.2,6,0,2,102.2,27,0,0,153,17,322,437,6,0,0,6,0,181,431,8,107,80,10,35,1,35,2,0,301,189,11.1,2021,Defense,32004352-5512-9724-3fc2-b6651884ae8b,Pacific Twelve Conference,Arizona,TEN,5,152,2018,4
bravvion roy,25644,NT,CAR,17,13,2,NA,0,0,5,0,0,NA,47.6,67.4,61.9,43.9,58.4,2,7,0,0,NA,9.7,3,0,1,0,0,0,0,0,0,0,341,341,211,126,1,3,0,0,149,192,0,12,15,1,0,9,0,0,0,NA,2021,Defense,3200524f-5906-2465-1403-d384e5bf09a4,Big Twelve Conference,Baylor,CAR,6,184,2020,2
clay johnston,25685,LB,CIN,7,9,0,100,0,0,7,0,0,52.5,54.1,0,60,62.9,61.5,0,0,0,0,26,9.5,2,0,1,158.3,2,0,0,82,0,34,94,6,0,0,6,0,0,88,1,59,6,4,10,0,2,0,1,42,8,21,2021,Defense,32004a4f-4880-4643-e839-9677436ad230,Big Twelve Conference,Baylor,LA,7,234,2020,2
henry black,25687,S,GB,18,5,0,68,0,0,12,0,0,44.9,45.9,81.9,57.6,57,42.9,0,0,0,1,54,20,6,1,0,104.6,17,0,0,86,7,212,283,1,0,0,1,0,91,282,2,69,97,3,19,0,25,0,2,215,134,12.6,2021,Defense,3200424c-4106-5504-33e0-03bac43274b8,Big Twelve Conference,Baylor,NA,UDFA,NA,2020,2
sean murphy-bunting,25891,CB,TB,10,6,0,67.2,0,1,30,1,0,56.9,56.4,85.4,46.6,55.3,59.1,0,0,0,0,63,12,6,3,2,110.4,43,0,0,31,250,357,524,12,0,0,12,0,1,512,10,157,229,15,38,1,64,0,3,563,245,13.1,2021,Defense,32004255-4e57-1021-66ef-1efc8a34ff51,Mid-American Conference,Central Michigan,TB,2,39,2019,3
clelin ferrell,25955,ED,LV,17,3,1,NA,1,0,23,0,0,61.6,45.9,13.2,64,37.3,77.6,6,10,0,0,NA,10,1,0,4,0,0,3,0,0,0,0,273,273,0,3,255,15,0,0,151,122,0,6,6,0,0,19,0,0,0,NA,2021,Defense,32004645-5255-8663-cd04-9e42913c7a38,Atlantic Coast Conference,Clemson,OAK,1,4,2019,3
dexter lawrence,25991,DI,NYG,16,10,2,100,0,1,21,0,0,60.1,68.6,88.6,73.9,56.9,60.7,9,31,0,0,5,5.7,3,0,0,87.5,1,3,0,0,0,4,759,758,40,482,15,221,0,1,427,328,0,32,40,2,1,43,0,5,0,5,2021,Defense,32004c41-5728-8048-d62b-e09e0d1d71d6,Atlantic Coast Conference,Clemson,NYG,1,17,2019,3
mark gilbert,26144,CB,DET,4,2,0,60,0,1,11,0,0,73,76.3,76.2,NA,73.9,35.5,0,0,0,0,36,28.6,2,1,0,88.8,3,0,0,7,37,24,47,3,0,0,3,0,0,44,0,23,0,1,3,0,5,0,0,44,26,14.7,2021,Defense,32004749-4c11-7153-6787-8da3d8fffcf6,Atlantic Coast Conference,Duke,NA,UDFA,NA,2021,1
isaiah mack,26229,DI,BLT,2,1,0,NA,0,0,3,0,0,NA,86.8,76,84.7,65,70.6,0,3,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,31,31,3,21,0,7,0,0,22,9,0,2,1,0,0,4,0,0,0,NA,2021,Defense,32004d41-4330-1314-43d7-d92fabf571d3,Southern Conference,Chattanooga,NA,UDFA,NA,2019,3
maxx crosby,26316,ED,LV,18,17,3,NA,1,0,23,0,0,67.3,91.7,30.8,91.9,79.5,71.4,20,77,0,0,NA,5,3,0,9,0,0,11,0,1,0,2,977,975,0,4,933,38,0,2,626,349,0,43,40,7,0,108,0,0,0,NA,2021,Defense,32004352-4f37-1007-6c0e-db2de3f9d742,Mid-American Conference,Eastern Michigan,OAK,4,106,2019,3
jabari zuniga,26449,ED,NYJ,3,1,0,NA,0,1,22,0,0,NA,58,81.3,65.8,50,73,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,53,53,0,3,49,1,0,0,26,27,0,1,1,0,0,1,0,0,0,NA,2021,Defense,32005a55-4e20-7645-bad6-222cbc88c769,Southeastern Conference,Florida,NYJ,3,79,2020,2
ben banogu,26554,ED,IND,8,0,0,100,0,0,14,0,0,56.1,60.1,82,61.6,61.6,71.7,1,3,0,0,17,0,0,0,0,108.3,2,0,0,1,0,7,68,67,0,1,65,1,0,1,56,5,0,0,2,0,2,4,0,20,19,10,2021,Defense,32004241-4e73-7249-aebe-eec538edf79b,Big Twelve Conference,Texas Christian,IND,2,49,2019,3
cj moore,26617,S,DET,11,2,0,70,0,0,11,0,0,62.3,59.2,81.8,55.9,49.7,42.5,1,0,0,1,12,20,3,0,0,39.6,7,0,0,46,1,101,158,13,0,0,13,0,61,145,17,40,37,1,10,0,10,1,0,45,31,6.4,2021,Defense,32004d4f-4f22-7635-8367-43e120fa27b5,Southeastern Conference,Mississippi,NA,UDFA,NA,2019,3
dj reed,26940,CB,SEA,14,10,0,51.5,1,0,29,1,0,75.4,78.6,67.6,NA,85.8,70,0,0,0,2,41,10.2,9,6,5,66,35,0,0,105,858,606,1002,12,0,0,12,0,3,990,0,396,24,19,69,0,68,0,2,383,114,10.9,2021,Defense,32005245-4518-0513-87ee-49ca85f53dfe,Big Twelve Conference,Kansas State,SF,5,142,2018,4
isaiah rodgers,27069,CB,IND,17,5,0,62.3,0,0,14,0,0,71.8,70.7,50.6,NA,62.9,53.1,0,0,0,3,43,14.3,8,3,1,72.2,38,0,0,23,486,366,525,0,0,0,0,0,0,525,0,159,15,16,43,1,61,0,2,407,106,10.7,2021,Defense,3200524f-4436-8010-e65e-c67817074ab0,Mid-American Conference,Massachusetts,IND,6,211,2020,2
bryce huff,27128,ED,NYJ,9,1,0,100,0,0,22,0,0,48.3,60.7,72.5,70.9,45.5,54.6,6,7,0,0,17,16.7,2,0,1,158.3,1,4,0,2,0,8,338,336,0,1,333,2,0,2,209,121,0,7,9,0,1,17,1,17,7,17,2021,Defense,32004855-4609-0844-68b1-6617441eaa57,American Athletic Conference,Memphis,NA,UDFA,NA,2020,2
siran neal,27130,CB,BUF,12,6,0,60,1,0,4,0,0,50.6,48.5,11.1,55.2,52.8,75.8,0,0,0,0,18,6.3,1,0,5,74.6,3,0,0,36,45,94,171,19,0,0,19,0,0,152,5,72,70,7,9,0,5,0,0,27,18,9,2021,Defense,32004e45-4147-5848-9337-0d2e60729681,Ohio Valley Conference,Jacksonville State,BUF,5,154,2018,4
montez sweat,27271,ED,WAS,10,5,0,100,0,2,32,0,0,55.6,75.6,65.1,66.2,82.4,65.5,8,14,0,0,14,20,5,0,2,110.4,2,5,0,1,0,13,483,482,0,2,474,6,0,1,304,166,0,14,15,0,2,27,0,21,15,10.5,2021,Defense,32005357-4503-4375-fdbc-389a73a5ddc5,Southeastern Conference,Mississippi State,WAS,1,26,2019,3
raequan williams,27300,DI,PHI,1,0,0,NA,0,0,24,0,0,63.6,57,77.7,50.7,53.1,69,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,43,43,0,41,0,2,0,0,22,21,0,2,1,0,0,1,0,0,0,NA,2021,Defense,32005749-4c47-1387-5582-1340be65607c,Big Ten Conference,Michigan State,NA,UDFA,NA,2020,2
devin bush,27375,LB,PIT,15,13,0,77.8,1,1,25,1,0,51.8,34.4,62.1,80.4,27.2,76.6,2,3,0,1,29,6.8,5,4,2,101.7,49,2,0,686,6,397,795,42,0,0,42,0,0,753,35,363,61,25,55,1,63,7,2,469,284,9.6,2021,Defense,32004255-5323-1883-1a34-05cf13caa3d4,Big Ten Conference,Michigan,PIT,1,10,2019,3
michael dwumfour,27376,DI,HST,3,1,0,NA,0,0,13,0,0,58.2,48,79,61.6,46.5,44.3,2,0,0,0,NA,20,1,0,0,0,0,1,0,0,0,2,67,67,1,63,0,3,0,0,30,35,0,4,3,1,0,3,0,0,0,NA,2021,Defense,32004457-5541-5291-7ce1-d9e414d4eae7,Big Ten Conference,Rutgers,NA,UDFA,NA,2021,1
david long,27377,CB,LA,18,3,0,65.1,1,0,26,0,0,62.2,60.8,56.7,71.7,48.6,42.2,0,1,1,2,41,12.3,7,2,2,79.7,41,0,0,49,423,510,671,5,0,0,5,0,1,666,3,158,192,10,47,1,63,1,1,474,159,11.6,2021,Defense,32004c4f-4e21-1243-8d29-d872277bf4f7,Big Ten Conference,Michigan,LA,3,79,2019,3
joshua uche,27379,ED,NE,13,1,0,100,0,0,19,1,0,79.4,60.9,55.2,61.4,33.3,67.2,3,11,0,0,13,10,1,0,1,105.6,3,3,0,21,1,42,241,218,0,0,218,0,0,23,161,38,1,7,8,0,3,17,0,28,15,9.3,2021,Defense,32005543-4841-5291-3f1b-884a013e452e,Big Ten Conference,Michigan,NE,2,60,2020,2
dangelo ross,27732,CB,NE,4,1,0,66.7,0,0,19,0,0,68.3,64.1,76.5,NA,48.3,80,0,1,0,0,5,0,0,0,0,70.1,2,0,0,10,11,37,68,0,0,0,0,0,18,68,0,31,29,2,3,0,3,1,0,8,10,4,2021,Defense,3200524f-5356-5402-cb50-43563bfd6a4d,Mountain West Conference,New Mexico,NA,UDFA,NA,2019,3
armon watts,27844,NT,MIN,17,14,0,NA,0,1,18,0,0,69.9,61.6,88.4,70.9,45.1,60.3,6,22,0,0,NA,10.3,4,0,0,0,0,5,0,1,0,0,669,668,230,337,0,101,0,1,414,255,0,18,21,0,0,33,0,0,0,NA,2021,Defense,32005741-5445-3754-3a1f-4a065165f280,Southeastern Conference,Arkansas,MIN,6,190,2019,3
